f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin
104,104,0,0,0,1000,1,1,0,0,1.1,0.9
104,19,0,0,0,1000,1,1,0,0,1.1,0.9
104,104,0,0,0,1000,1,1,0,0,1.1,0.9
1,1,0,0,0,1000,1,1,0,0,1.1,0.9
1,1,0,0,0,1000,1,1,0,0,1.1,0.9
1,1,0,0,0,1000,1,1,0,0,1.1,0.9
104,104,0,0,0,1000,1,1,0,0,1.1,0.9
104,104,0,0,0,1000,1,1,0,0,1.1,0.9
104,104,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
90,90,0,0,0,1000,1,1,0,0,1.1,0.9
33,33,0,0,0,1000,1,1,0,0,1.1,0.9
81,81,0,0,0,1000,1,1,0,0,1.1,0.9
81,81,0,0,0,1000,1,1,0,0,1.1,0.9
74,74,0,0,0,1000,1,1,0,0,1.1,0.9
45,53,0,0,0,1000,1,1,0,0,1.1,0.9
50,68,0,0,0,1000,1,1,0,0,1.1,0.9
100,100,0,0,0,1000,1,1,0,0,1.1,0.9
28,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,28,0,0,0,1000,1,1,0,0,1.1,0.9
64,23,0,0,0,1000,1,1,0,0,1.1,0.9
66,93,0,0,0,1000,1,1,0,0,1.1,0.9
95,95,0,0,0,1000,1,1,0,0,1.1,0.9
95,95,0,0,0,1000,1,1,0,0,1.1,0.9
95,95,0,0,0,1000,1,1,0,0,1.1,0.9
33,33,0,0,0,1000,1,1,0,0,1.1,0.9
33,33,0,0,0,1000,1,1,0,0,1.1,0.9
41,41,0,0,0,1000,1,1,0,0,1.1,0.9
41,41,0,0,0,1000,1,1,0,0,1.1,0.9
89,89,0,0,0,1000,1,1,0,0,1.1,0.9
89,89,0,0,0,1000,1,1,0,0,1.1,0.9
89,89,0,0,0,1000,1,1,0,0,1.1,0.9
89,89,0,0,0,1000,1,1,0,0,1.1,0.9
89,89,0,0,0,1000,1,1,0,0,1.1,0.9
89,89,0,0,0,1000,1,1,0,0,1.1,0.9
22,22,0,0,0,1000,1,1,0,0,1.1,0.9
22,22,0,0,0,1000,1,1,0,0,1.1,0.9
22,22,0,0,0,1000,1,1,0,0,1.1,0.9
22,22,0,0,0,1000,1,1,0,0,1.1,0.9
22,22,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
78,53,0,0,0,1000,1,1,0,0,1.1,0.9
103,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,103,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
87,87,0,0,0,1000,1,1,0,0,1.1,0.9
26,26,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
67,67,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
