id,@id,addr:place,area,barrier,branch,building,building:levels,frequency,industrial,landuse,location,man_made,name,operator,operator:short,operator:wikidata,power,ref,roof:shape,source,start_date,street_cabinet,substation,utility,voltage,geometry,centroid
way/672628320,way/672628320,,,,,,,,,,outdoor,,,Ghana Grid Company,,Q16733560,substation,,,,,,transmission,,161000,"POLYGON ((0.0125743 5.6754933, 0.01296 5.6751705, 0.0127867 5.6749482, 0.0137498 5.6741291, 0.0139462 5.6743675, 0.0140124 5.6745407, 0.0136259 5.6749057, 0.014433 5.6757988, 0.0141286 5.6760926, 0.0141829 5.6762445, 0.0140974 5.676327, 0.0139326 5.6762816, 0.0136405 5.6765635, 0.0125743 5.6754933))","(0.013514856507352973, 5.675433257613388)"
way/672647718,way/672647718,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.2836946 5.5806094, -0.2835008 5.5793187, -0.2822314 5.5795509, -0.2823776 5.5800274, -0.2822851 5.5800541, -0.2825077 5.580827, -0.2836946 5.5806094))","(-0.2829785049842293, 5.5800737415123045)"
way/672810573,way/672810573,,,,,,,,,,outdoor,,Bawku Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.2343594 11.0574714, -0.2339852 11.0565882, -0.2334608 11.056787, -0.2333763 11.0567093, -0.2326012 11.0572069, -0.232982 11.0581177, -0.2338591 11.0578518, -0.2338216 11.0577096, -0.2343594 11.0574714))","(-0.23346789720540234, 11.057346415773287)"
way/672951919,way/672951919,,,,,,,,,,outdoor,,Nkawkaw Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.7751544 6.5598753, -0.7748847 6.5604457, -0.775014 6.5605125, -0.7749868 6.5605651, -0.7751512 6.5606491, -0.7751807 6.561018, -0.775557 6.5610293, -0.7759255 6.5602683, -0.7751544 6.5598753))","(-0.7753903558573665, 6.560460620885243)"
way/673695263,way/673695263,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.0520837 5.5218255, -2.0515704 5.5213683, -2.0511576 5.5218274, -2.0517208 5.522329, -2.0517796 5.5222636, -2.0519258 5.5223938, -2.0523169 5.5219589, -2.0521208 5.5217842, -2.0520837 5.5218255))","(-2.051727631808237, 5.521900019903775)"
way/673926575,way/673926575,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.0275529 5.3279948, -2.0271658 5.3276135, -2.0266736 5.3281089, -2.0270607 5.3284902, -2.0275529 5.3279948))","(-2.02711325, 5.3280518500000005)"
way/673959969,way/673959969,,,,,,,,,,outdoor,,Cape Coast Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-1.2450157 5.1187045, -1.2452075 5.1183298, -1.2448033 5.1181245, -1.2449279 5.1178811, -1.2445571 5.1176928, -1.2444344 5.1179325, -1.2445938 5.1180135, -1.2444001 5.1183919, -1.2450157 5.1187045))","(-1.2447695113877861, 5.118234144100664)"
way/674068904,way/674068904,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,225000,"POLYGON ((-2.7528316 5.2896314, -2.7531078 5.2887073, -2.7517962 5.2882907, -2.7516702 5.2886806, -2.7514154 5.2886085, -2.7512652 5.2890866, -2.7523997 5.2895113, -2.7528316 5.2896314))","(-2.75223602759582, 5.28895428122809)"
way/674074973,way/674074973,,,,,,,,,,outdoor,,Essiama Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.3451586 4.9425757, -2.3444839 4.9419308, -2.3435304 4.9429209, -2.3442051 4.9435658, -2.3451586 4.9425757))","(-2.3443445, 4.942748300000001)"
way/695710253,way/695710253,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((0.0453454 5.6820534, 0.0452583 5.6818826, 0.0450651 5.6818146, 0.044986 5.6816638, 0.0450128 5.6814222, 0.0453924 5.6810539, 0.04556 5.6809725, 0.0459516 5.6818266, 0.0454822 5.6820441, 0.0453454 5.6820534))","(0.04544764383494491, 5.681565085559881)"
way/764528089,way/764528089,,,,,,,,,,,,ECG Sub Station,Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,,"POLYGON ((-0.007751 5.6446913, -0.0074573 5.6448144, -0.0074843 5.644878, -0.0075306 5.6448585, -0.0075614 5.6449314, -0.0077821 5.6448389, -0.0077507 5.6447646, -0.0077773 5.6447535, -0.007751 5.6446913))","(-0.007635399457784426, 5.644814343472993)"
way/791947748,way/791947748,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((0.0204461 5.696073, 0.021406 5.6951973, 0.0219744 5.6958142, 0.0210145 5.6966898, 0.0204461 5.696073))","(0.02121025457508189, 5.69594356589193)"
way/930744195,way/930744195,,,fence,,,,,,,,,Bolgatanga II Substation,,,,substation,,,,,,,,330000;225000;161000,"POLYGON ((-1.0634077 10.8780332, -1.0634034 10.8754065, -1.0625315 10.8754079, -1.0625324 10.875943, -1.0618293 10.8759441, -1.0618284 10.875382, -1.0607545 10.8753837, -1.0607588 10.8780374, -1.0623238 10.8780349, -1.0634077 10.8780332))","(-1.0620719948727317, 10.876775664389225)"
way/937298736,way/937298736,,,,,,,,,,,,Smelter 2,,,,substation,,,,,,substation,,,"POLYGON ((0.0134069 5.6748982, 0.0135036 5.6748081, 0.0135134 5.6748186, 0.0137441 5.6750637, 0.0136474 5.6751537, 0.0134069 5.6748982))","(0.013575488749749882, 5.674980930869105)"
way/1069597794,way/1069597794,,,fence,,,,,,,,,Tamale Substation,,,,substation,,,,,,,,330000;161000,"POLYGON ((-0.9450928 9.3263546, -0.9444879 9.3285031, -0.946114 9.3289489, -0.9467189 9.3268005, -0.9458042 9.3265497, -0.9450928 9.3263546))","(-0.9456033935687, 9.32765177610955)"
way/1095650797,way/1095650797,,,,,industrial,,,,,,,ECG Substation,,,,substation,,,,,,,,,"POLYGON ((-1.5764422 6.6688734, -1.5764581 6.6687851, -1.5763233 6.6687611, -1.5763074 6.6688494, -1.5764422 6.6688734))","(-1.5763827499999998, 6.66881725)"
way/1155380911,way/1155380911,,,fence,,,,,power,industrial,outdoor,,,,,,substation,,,,,,transmission,,330000;161000,"POLYGON ((-1.5197046 6.6957645, -1.5205304 6.6942623, -1.5204907 6.6942434, -1.5204598 6.6942286, -1.5213089 6.6927308, -1.5199841 6.6920398, -1.5200548 6.6919061, -1.5193085 6.6915168, -1.5184608 6.6931198, -1.5184152 6.693096, -1.5183487 6.6930613, -1.5175464 6.6945785, -1.5185625 6.6951085, -1.5185375 6.6951557, -1.5197046 6.6957645))","(-1.519439986400044, 6.6936766181172525)"
way/1246063586,way/1246063586,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.6581721 4.9742633, -1.6581433 4.9737623, -1.6573802 4.9738058, -1.657409 4.9743068, -1.6581721 4.9742633))","(-1.65777615, 4.97403455)"
way/1246063599,way/1246063599,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.6653186 4.968902, -1.6651537 4.9677465, -1.6645312 4.9678347, -1.6646962 4.9689902, -1.6653186 4.968902))","(-1.664924922211964, 4.968368334925277)"
